,salary_id,employer_name,location_name,location_country,location_latitude,location_longitude,job_title,job_title_category,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus
636,2661,amazon,"seattle, wa",1,47.61,-122.33,318,2,1.0,1.0,0.009727626459143969,25000.0,8066.263736263736
637,2666,self employed,netherlands,29,52.5,5.75,219,3,8.0,3.0,0.005836575875486381,0.0,0.0
638,2671,workday,"pleasanton, ca",1,37.65,-121.85,319,2,0.0,0.0,0.008754863813229572,10000.0,8066.263736263736
639,2672,private bank,"geneva, switzerland",28,47.0,8.0,320,3,9.0,8.0,0.01264591439688716,0.0,10000.0
640,2673,small b2b,"berlin, germany",10,51.0,9.0,13,2,4.0,1.0,0.007101167315175097,11000.0,8066.263736263736
641,2676,series a funded startup,"san francisco, ca",1,37.77,-122.41,321,6,10.0,1.0,0.014105058365758755,21800.483568075117,8066.263736263736
642,2679,a mbanking company,"dhaka, bangladesh",45,24.0,90.0,58,2,5.0,0.3,0.0023346303501945525,21800.483568075117,2000.0
643,2686,capgemini,spain,7,40.0,-4.0,136,3,8.0,2.0,0.0023346303501945525,0.0,0.0
644,2692,99designs,"melbourne, australia",20,-27.0,133.0,11,2,5.0,3.0,0.007295719844357977,1000.0,500.0
645,2697,large tech coy,singapore,38,1.37,103.8,6,2,6.0,1.0,0.010019455252918289,0.0,0.0
646,2701,small b2b software consultancy,"chisinau, moldova",46,47.0,29.0,6,2,8.0,5.0,0.0024319066147859923,0.0,0.0
647,2708,:),hong kong,47,22.27,114.19,322,2,1.0,1.0,0.0,0.0,0.0
648,2716,fast fashion retailer,"stockholm, sweden",4,62.0,15.0,323,3,1.5,1.5,0.004523346303501946,0.0,0.0
649,2717,ml,vietnam,40,16.17,107.83,13,2,4.0,4.0,0.0019455252918287938,0.0,0.0
650,2720,intuit,"mountain view, ca",1,37.41,-122.05,260,2,1.0,1.0,0.009727626459143969,5000.0,10000.0
651,2724,small tech company,michigan,1,38.0,-97.0,296,8,1.0,1.0,0.005350194552529183,0.0,8066.263736263736
652,2728,technical  of brunswick,"germany, brunswick",10,51.0,9.0,324,2,6.0,1.0,0.0009727626459143969,21800.483568075117,8066.263736263736
653,2735,intel,"portland, or",1,45.44,-122.52,325,1,4.0,3.0,0.007782101167315175,5000.0,7000.0
654,2742,kt,"chicago, il",1,41.85,-87.65,13,2,5.0,2.0,0.007782101167315175,0.0,0.0
655,2745,freelance,morocco,48,32.0,-5.0,326,2,6.0,1.0,0.005836575875486381,0.0,0.0
656,2747,navaru,"constanta, romania",3,21.0,57.0,327,4,8.0,5.0,0.00023346303501945524,21800.483568075117,8066.263736263736
657,2751,non-start-up (~100 employees),the netherlands,29,52.5,5.75,328,1,18.0,1.0,0.005836575875486381,21800.483568075117,4500.0
658,2764,cluster reply srl,italy,49,42.83,12.83,136,3,5.0,4.0,0.0033073929961089494,0.0,4000.0
659,2766,small italian consultancy firm (50+),"turin, italy",49,42.83,12.83,61,2,8.0,2.0,0.002529182879377432,21800.483568075117,2000.0
660,2767,facebook,"menlo park, ca",1,37.45,-122.17,329,2,0.0,0.25,0.0008171206225680934,0.0,0.0
661,2772,cisco,israel,9,31.47,35.13,287,1,4.0,4.0,0.008268482490272374,0.0,10000.0
662,2773,industrial company,"casablanca, morocco",48,32.0,-5.0,330,6,3.0,0.0,0.001284046692607004,0.0,8066.263736263736
663,2777,stock broker,"barcelona, spain",7,40.0,-4.0,173,4,1.5,1.5,0.0019455252918287938,0.0,3000.0
664,2780,it minds,"copenhagen, denmark",34,56.0,10.0,331,3,2.0,2.0,0.005836575875486381,0.0,0.0
665,2784,sberbank,"moscow, russia",42,60.0,100.0,332,5,15.0,1.0,0.0023346303501945525,0.0,0.0
666,2786,visa,singapore,38,1.37,103.8,3,2,2.0,0.0,0.0048638132295719845,2500.0,10.0
667,2792,health ensurance company,germany,10,51.0,9.0,287,1,10.0,10.0,0.006536964980544747,21800.483568075117,8066.263736263736
668,2793,fortech s.r.l,"cluj-napoca, romania",3,21.0,57.0,6,2,3.0,1.0,0.00245136186770428,0.0,0.0
