,salary_id,employer_name,location_name,location_country,location_latitude,location_longitude,job_title,job_title_category,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus
189,834,sef,"san francisco, ca",US,37.77,-122.41,founder,Management,20.0,1.0,0.0,0.0,0.0
190,836,stanford,"stanford, ca",US,37.41,-122.17,graduate student researcher,Other,3.0,6.0,32000.0,0.0,0.0
191,838,sandia national laboratories,"albuquerque, new mexico",MX,23.0,-102.0,research intern,Other,2.0,0.0,46000.0,0.0,0.0
192,847,careworks tech,"columbus, oh",US,39.98,-82.98,lead front-end web developer,Web,5.0,2.0,77957.56,0.0,0.0
193,848,sacramento county,"sacramento, ca",US,38.58,-121.49,it analyst i,Data,4.0,1.0,61000.0,0.0,0.0
194,849,unnamed pre-series a startup,"cologne, germany",DE,51.0,9.0,software engineer,Software,2.0,0.0,48000.0,0.0,4000.0
195,852,niehs,"durham, nc",US,35.98,-78.91,software developer,Software,2.0,1.0,68000.0,0.0,0.0
196,854,netspend,"austin, tx",US,30.26,-97.74,front-end developer,Web,1.0,1.0,72000.0,0.0,5500.0
197,868,ad-tech,new york,US,38.0,-97.0,senior data analyst,Data,8.0,2.0,110000.0,0.0,10000.0
198,873,deka research,"manchester, nh",US,42.99,-71.45,software engineer,Software,5.0,3.0,69000.0,2000.0,3000.0
199,880,verizon,"waltham, ma",US,42.38,-71.24,senior software engineer,Software,7.0,2.0,110000.0,21800.483568075117,8066.263736263736
200,882,domo,"american fork, ut",US,40.39,-111.78,account executive,Management,5.0,1.0,80000.0,25000.0,140000.0
201,883,hp,bulgaria,BG,43.0,25.0,unix support engineer level 1,Engineering,1.0,1.0,5600.0,0.0,0.0
202,888,moven,"radnor, pa",US,39.96,-75.35,software engineer,Software,8.0,1.0,105000.0,0.0,0.0
203,902,microsoft,"redmond, wa",US,47.68,-122.12,sde,Software,5.0,1.0,115000.0,15000.0,8066.263736263736
204,908,large retailer,"new york, ny",US,40.71,-73.99,interactive designer,Other,9.0,4.0,67000.0,0.0,0.0
205,912,twitter,new york city,US,38.0,-97.0,senior software engineer,Software,15.0,2.0,155000.0,0.0,0.0
206,924,oracle,southern california,US,38.0,-97.0,ux developer,Software,10.0,5.0,100000.0,21800.483568075117,8066.263736263736
207,927,1st4connect,"lahore, pakistan",PK,30.0,70.0,software developer engineer,Software,3.0,1.0,100000.0,21800.483568075117,8066.263736263736
208,932,nike,"beaverton, or",US,45.49,-122.8,senior technical project manager,Management,10.0,1.0,124000.0,0.0,0.0
209,934,fresh code,"salt lake city, utah",US,40.75,-111.9,software engineer,Software,5.0,0.5,95000.0,0.0,0.0
210,935,ericsson,ireland,IE,53.0,-8.0,software engineer,Software,4.0,1.0,40000.0,0.0,0.0
211,939,ak systems,new york,US,38.0,-97.0,software engineer,Software,10.0,6.0,120000.0,21800.483568075117,10000.0
212,944,freelance,peru,PE,-10.0,-76.0,software engineer,Software,5.0,2.0,200000.0,0.0,0.0
213,948,cox automotive,"burlington, vt",US,44.48,-73.22,ui developer,Software,4.0,1.5,73500.0,0.0,5.0
214,958,state farm,"phoenix, az",US,33.45,-112.06,software developer,Software,2.0,1.0,63000.0,4000.0,6000.0
215,960,plain vanilla,iceland,IS,65.0,-18.0,software developer,Software,3.0,1.0,62000.0,0.0,0.0
216,964,digitalocean,new york,US,38.0,-97.0,sre,Other,10.0,2.0,173000.0,25000.0,5000.0
217,977,google,new york city,US,38.0,-97.0,software engineer ii (level 3),Software,4.0,1.0,117500.0,0.0,18000.0
218,979,twitter,"san francisco, ca",US,37.77,-122.41,software engineer,Software,3.0,1.0,140000.0,0.0,0.0
219,988,facebook,north carolina,US,38.0,-97.0,software engineer,Software,12.0,2.0,198000.0,25000.0,40000.0
220,990,-,"brisbane, australia",AU,-27.0,133.0,senior software engineer,Software,15.0,1.0,115000.0,0.0,0.0
221,993,l-mobile software solutions gmbh,"sulzbach an der murr, germany",DE,51.0,9.0,software engineer,Software,6.0,4.0,40000.0,0.0,0.0
222,998,intel,"folsom, ca",US,38.67,-121.14,application developer,Software,2.0,2.0,74000.0,6000.0,3000.0
223,999,sovrn holdings,"boulder, co",US,40.02,-105.25,software engineer,Software,6.0,1.0,105000.0,0.0,0.0
224,1003,,"interior bc, canada",CA,60.0,-95.0,software engineer (intermediate),Software,7.0,0.0,100000.0,0.0,0.0
